VEHICLE
NUMBER     CAPACITY
   19          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0        500        500          0            0       2307           10
    1        345        422         17            0        496           10
    2        900        960         14            0       1657           10
    3        928        980         23         1058       1113           10
    4        390        615          5            0       1532           10
    5        354        793         34         1648       1661           10
    6        561        689         24         1056       1075           10
    7        954         53          7            0       1120           10
    8        243        753          7         1661       1694           10
    9        391        158          7         1766       1782           10
   10        359        542          7            0       1459           10
   11        757        831         22         1054       1098           10
   12        944        799         23            0       1175           10
   13        829        858         24          706        746           10
   14        319        243         13            0       1674           10
   15        581        251         20            0       1612           10
   16        316        796         23            0       1433           10
   17        770        918          2            0       1304           10
   18        244        996         10            0        844           10
   19        250        252         33         1195       1246           10
   20         42        883          1            0       1438           10
   21        207        683         17         1516       1530           10
   22        873        984         18         1482       1493           10
   23        193        718         33            0       1339           10
   24        410        429         14         1306       1322           10
   25        587         52         19         1489       1530           10
   26        678         71         28         1386       1411           10
   27        747        383         10          454        470           10
   28        325        670         22          717        752           10
   29        860        643         17            0       1847           10
   30        278        458         30            0        457           10
   31        892        914         33            0       1085           10
   32        372        560          4            0       1269           10
   33        481        656          2         1772       1831           10
   34        411        789         33            0       1240           10
   35        423        916         22         1440       1487           10
   36        768        296         21            0       1233           10
   37        855        369         29            0       1197           10
   38        788        185          6            0        678           10
   39        243        747         20            0       1799           10
   40         86        768         27         1268       1289           10
   41        613        766          7         1260       1280           10
   42        547        165         18            0       1365           10
   43        814        590          2            0       1243           10
   44        943        137         13         1246       1279           10
   45         11        590         35         1427       1477           10
   46        817        556         19            0        517           10
   47        210        446          8            0       1135           10
   48        358        839         12         1261       1310           10
   49        601        635          7         1487       1497           10
   50         52        659         34            0       1789           10
   51        287        830         18         1078       1118           10
   52        434        673         34         1495       1525           10
   53        564        641         11            0        887           10
   54        653        841         24          650        704           10
   55        321        141         17         1089       1116           10
   56        229        569          6            0       1685           10
   57        447        232          1            0        501           10
   58        966         45          2         1279       1298           10
   59        895        940         10         1489       1504           10
   60        545        575          5          457        470           10
   61        654        290         35            0        590           10
   62        365        662          8            0       1292           10
   63        544        429         29            0       1706           10
   64         39        236          7         1337       1349           10
   65        629        795          8         1084       1137           10
   66        275        267         20            0       1155           10
   67        397        470         34          967       1024           10
   68        577        806         22          970        983           10
   69         16        290         27            0        595           10
   70        954        946         12            0       1252           10
   71        935        153         23            0       1125           10
   72        439        544          2          351        379           10
   73        884        969         11            0       1110           10
   74         34        396         32         1600       1650           10
   75         58        935          1         1415       1431           10
   76        132        170          7         1032       1063           10
   77        958        148         16         1607       1640           10
   78         59        837         20         1244       1272           10
   79        886        914         29         1113       1130           10
   80        104        917         23            0       1020           10
   81        318        706         26            0       1779           10
   82        573        374         18            0       2020           10
   83        343         27         18          631        642           10
   84        413        541         10            0        993           10
   85        890        162          3         1512       1560           10
   86        222        741         28         1376       1408           10
   87        381        772         26         1532       1548           10
   88        590        583          4          756        779           10
   89        466        647         31         1826       1842           10
   90        477         57          2            0       1326           10
   91        292        791          9            0       1255           10
   92        231        847         25            0       1123           10
   93        887        134         35            0       1306           10
   94        937        990          7          950       1003           10
   95        658        609         12         1018       1049           10
   96        594        653         28            0        647           10
   97        910        896         12          917        958           10
   98        370        524         27          582        613           10
   99        659        748         11          887        946           10
